,ФИО,Пол,Роль в мероприятии,Список компетенций,Должность,Категория,Начало трудового стажа,Место работы,Профессия,Дата рождения,Начало трудовой деятельности в РОСАТОМ,Образование,Место образования,Год оканчания,Специальность,Results,status,team_name
21,ФИО_21,0,Участник мероприятия,Сетевое и системное администрирование; ,Ведущий специалист,Инженер,2007-10-01,"АО ""Гринатом""",Сетевое и системное администрирование,1987-10-16,2019-06-03,Информация об образовании не указана,,,,56.5,t,Альфа
22,ФИО_22,0,Участник мероприятия,Мехатроника; ,слесарь по КИПиА,Специалист (рабочие специальности),2007-03-12,"""ФГУП ПО """"МАЯК""""",Мехатроника,1986-04-21,2004-01-01,Информация об образовании не указана,,,,38.4,t,Бабенко/Трифонов ЯОК
23,ФИО_23,0,Участник мероприятия,Токарные работы на станках с ЧПУ; ,Токарь с ЧПУ,,05.2017,"""ПАО """"Ковровский механический завод""""""",,20.02.1999,,Информация об образовании не указана,,,,32.98,s,
24,ФИО_24,1,Участник мероприятия,Инженерное проектирование; ,Инженер - конструктор,,апр.08,"""ФГУП """"Производственное объединение """"Маяк""""""",,02.07.1984,,Информация об образовании не указана,,,,5.0,t,МАЯК_1
25,ФИО_25,0,Участник мероприятия,Управление жизненным циклом; ,Руководитель проекта,,дек.18,"""АО """"Высокотехнологический научно-исследовательский институт неорганических материалов имени академика А.А. Бочвара""""""",,17.04.1996,,Информация об образовании не указана,,,,44.54,t,"АО ""ТВЭЛ"" 2"
26,ФИО_26,0,Участник мероприятия,Геодезия; ,ведущий инженер,Инженер,1998-08-11,"Акционерное общество ""Ведущий проектно-изыскательский и научно-исследовательский институт промышленной технологии""",нет в предлагаемом списке,1976-03-26,2010-03-01,Информация об образовании не указана,,,,72.05,t,Горнорудный дивизион
27,ФИО_27,0,Участник мероприятия,Инженерное проектирование; ,Инженер-конструктор 3 категории,,21.07.2016,"АО ""ЦПТИ, Уральский филиал, научно-исследовательский и опытно-конструкторский отдел",,1994-06-15,2020-01-09,Высшее образование без указания уровня,УРФУ,2018,Электроэнергетика и электротехника,62.02,t,"АО ""ТВЭЛ"" 2"
28,ФИО_28,0,Участник мероприятия,Инженерное проектирование; ,Инженер-проектировщик,,2017,"""АО  """"Атомэнергопроект""""""",,,2020,Информация об образовании не указана,,,,54.71,t,АЭП_2_Енотики_и_точка
29,ФИО_29,0,Участник мероприятия,Управление жизненным циклом; ,Инженер,Инженер,2012-05-07,"""АО по наладке",,1991-12-02,2012-05-07,Высшее образование без указания уровня,ИАТЭ НИЯУ МИФИ,2015,АЭС и ЯЭУ,41.88,t,Концерн команда-2
30,ФИО_30,0,Участник мероприятия,Вывод из эксплуатации объектов использования атомной энергии; ,Оператор систем радиационного и дозиметрического контроля,Специалист (рабочие специальности),2019-02-14,Филиал АО «Концерн Росэнергоатом» «Опытно-демонстрационный инженерный центр по выводу из эксплуатации»,Вывод из эксплуатации объектов использования атомной энергии,1997-06-04,2019-02-14,Информация об образовании не указана,,,,79.37,t,ОДИЦ
31,ФИО_31,0,Участник мероприятия,Инженерное проектирование; ,BIM-координатор,Инженер,2018-11-05,"АО ""ВНИПИпромтехнологии""",Инженерное проектирование,1990-06-25,2018-10-16,Высшее образование без указания уровня,ЯГТУ,2014,архитектор,5.0,t,ВНИПИ_в_координатах
32,ФИО_32,1,Участник мероприятия,Охрана труда; ,Главный специалист по ОТ,Инженер,2001-07-01,"""АО """"Государственный специализированный проектный институт""""""",Охрана труда,1978-04-29,2020-10-05,Информация об образовании не указана,,,,61.82,s,
33,ФИО_33,0,Участник мероприятия,Управление жизненным циклом; ,инженер-конструктор,,июн.01,"""ООО """"НПО""""Центротех""""""""""",,20.06.1983,,Информация об образовании не указана,,,,42.69,t,"АО ""ТВЭЛ"" 1"
34,ФИО_34,0,Участник не в оценке,Электромонтаж; ,Электромонтер по ремонту и обслуживанию электрооборудования,,04.2010,"""АО """"ЕВРАЗ ОБЪЕДИНЁННЫЙ ЗАПАДНО-СИБИРСКИЙ МЕТАЛЛУРГИЧЕСКИЙ Комбинат"""" """,,,,Информация об образовании не указана,,,,60.29,s,
35,ФИО_35,1,Участник мероприятия,Управление качеством; ,Главный специалист,,09.2015,АО «Русатом Оверсиз»,,,,Информация об образовании не указана,,,,51.27,t,"АО ""Русатом Оверсиз"""
36,ФИО_36,0,Участник мероприятия,Инженерное проектирование; ,Начальник-группы,,10.03.2022,"""АО """"Ведущий проектно-изыскательский и научно-исследовательский институт промышленной технологии""""""",,05.09.1986,18.12.2017,Высшее образование без указания уровня,"ФГОУ ВПО ""Национальный исследовательский технологический университет МИСиС""",2011,инженер-строитель,5.0,t,ВНИПИ_1
37,ФИО_37,0,Участник мероприятия,Охрана окружающей среды; ,инженер-эколог,,09.1994,ООО «НИИАР-ГЕНЕРАЦИЯ»,,,,Информация об образовании не указана,,,,56.81,s,
38,ФИО_38,0,Участник мероприятия,Неразрушающий контроль; ,,,,ИВТЭ НИЯУ МИФИ,,2001-04-11,,Информация об образовании не указана,,,,35.95,s,
39,ФИО_39,0,Участник мероприятия,Управление жизненным циклом; ,Начальник смены участка,,1996,"""ФГУП """"ПО """"Маяк""""""",,,1996,Высшее образование без указания уровня,НИЯУ МИФИ,2006,Машины и аппараты химических производств,59.39,t,"ЯОК ""МАЯК"""
40,ФИО_40,0,Участник мероприятия,Инженерное мышление. Каракури; ,Инженер-лаборант по физикомеханическим испытаниям 1 категории,,07.2019,ПетрозаводскМаш,,25.12.1990,,Информация об образовании не указана,,,,61.71,t,ПЗМ
41,ФИО_41,0,Участник мероприятия,Программные решения для бизнеса; ,разработчик,,,Цифровые платформы и решения для умного города,,,,Информация об образовании не указана,,,,66.78,t,"АО ""РИР"" Team-2"
42,ФИО_42,0,Участник мероприятия,Радиационный контроль; ,Дозиметрист,,07.12.2016,Филиал АО ''Концерн Росэнергоатом'' ''Балаковская атомная станция'',,1993-01-16,2020-02-12,Высшее образование без указания уровня,Саратовский государственный технический университет им. Гагарина Ю.А.,2015,"Подъемно-транспортные, строительные, дорожные машин и оборудование",69.9,s,
43,ФИО_43,1,Участник мероприятия,Сметное дело; ,Инженер по проектно-сметной работе 2 категории,,2001-02-09,АО Чепецкий механический завод,,1981-02-22,2021-12-24,Информация об образовании не указана,,,,59.35,s,
44,ФИО_44,0,Участник мероприятия,Токарные работы на станках с ЧПУ; ,Оператор ПУ,Специалист (рабочие специальности),2014-06-10,ФГУП ПСЗ,Токарные / Фрезерные работы на станках с ЧПУ,1994-05-25,2014-06-10,Информация об образовании не указана,,,,60.84,s,
45,ФИО_45,0,Участник мероприятия,Строительный контроль; ,Ведущий инженер строительного контроля,,01.02.2002,"""АО """"Концерн Титан-2"""" отдел строительного контроля""",,1984-01-10,2021-03-18,Высшее образование без указания уровня,"ФГОУ ВПО ""Северская государственная технологическая академия""",2006,Электропривод и автоматика промышленных установок и технологических комплексов,63.25,t,№ 5
46,ФИО_46,0,Участник мероприятия,Квантовые технологии; ,,,,Новосибирский национально исследовательский государственный университет,,1998-07-09,,Информация об образовании не указана,,,,18.83,s,
47,ФИО_47,0,Участник мероприятия,Квантовые технологии; ,нет,,0,"ФГБОУ ВО ""Алтайский государственный университет""",,2001-08-22,нет,Информация об образовании не указана,,,,10.94,s,
48,ФИО_48,1,Участник мероприятия,Инженерное проектирование; ,Ведущий инженер проектировщик,,06.2008,АО «Государственный специализированный проектный институт» ,,,,Информация об образовании не указана,,,,5.0,t,ГСПИ_2
49,ФИО_49,0,Участник мероприятия,Технологические системы энергетических объектов; ,Инженер,Инженер,2012-05-02,Филиал АО ''Концерн Росэнергоатом'' ''Кольская атомная станция'',нет в предлагаемом списке,1988-11-03,2012-05-02,Информация об образовании не указана,,,,59.39,s,
50,ФИО_50,0,Участник мероприятия,Корпоративная защита от внутренних угроз информационной безопасности; ,инженер по защите информации,,авг.08,"""ФГУП """"Приборостроительный завод""""""",,22.06.1992,,Информация об образовании не указана,,,,45.84,t,"ФГУП ""ПСЗ"""
51,ФИО_51,0,Участник мероприятия,Информационная безопасность; ,,,,НИЯУ МИФИ,,2001-05-31,,Информация об образовании не указана,,,,13.64,t,НИЯУ МИФИ
52,ФИО_52,0,Участник мероприятия,Фрезерные работы на станках с ЧПУ; ,Наладчик станков и манипуляторов с программным управлением,,08.2008,"""ФГУП """"Приборостроительный завод""""""",,04.07.1990,,Информация об образовании не указана,,,,52.72,s,
53,ФИО_53,1,Участник мероприятия,Аналитический контроль; ,Лаборант химического анализа 5 разряда,Специалист (рабочие специальности),2020-12-01,Ленинградская атомная электростанция,Аналитический контроль,1996-06-20,2020-12-01,Информация об образовании не указана,,,,36.01,s,
54,ФИО_54,1,Участник мероприятия,Управление качеством; ,инженер по качеству 1 категории,,,Филиал АО ''АЭМ-технологии'' ''Атоммаш'' в г. Волгодонск,,,,Информация об образовании не указана,,,,44.88,t,"АО ""Атомэнергомаш"""
55,ФИО_55,0,Участник мероприятия,Технологии композитов; ,,,,Центр Компетенций WorldSkills Национального Исследовательского Ядерного Университета МИФИ,,2002-11-30,,Информация об образовании не указана,,,,64.96,t,НИЯУ МИФИ 2
56,ФИО_56,0,Участник мероприятия,Инженерное проектирование; ,Руководитель направления,,03.2012,Санкт-Петербургский филиал АО «ФЦНИВТ «СНПО «Элерон» - «ВНИПИЭТ»,,,5.06.2017,Высшее образование без указания уровня,СПбГАСУ,2014,инженер - строитель,5.0,t,МАЯК_1
57,ФИО_57,0,Участник мероприятия,Фрезерные работы на станках с ЧПУ; ,оператор станков с ПУ,,06.2013,"""АО """"Центральное конструкторское бюро машиностроения""""""",,18.07.1991,,Информация об образовании не указана,,,,19.89,s,
58,ФИО_58,0,Участник мероприятия,Инженер-конструктор; ,Студент,,2022-07-01,Аэрокосмический колледж СибГУ им. М.Ф. Решетнева,,2004-03-23,2022-07-01,Основное общее образование,"МБОУ ""Средняя общеобразовательная школа №176""",2020,Нет,39.07,s,
59,ФИО_59,0,Участник мероприятия,Инженерное мышление. Каракури; ,мастер участка,,1987-01-26,ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ «ГОРНО-ХИМИЧЕСКИЙ КОМБИНАТ»,,1968-09-18,2017-09-22,Информация об образовании не указана,,,,65.17,t,Экологические решения
60,ФИО_60,0,Участник мероприятия,Строительный контроль; ,Ведущий инженер управления с роительного контроля группы технического надзора,,07.2011,Артем Александрович Бондаренко,,,,Информация об образовании не указана,,,,88.25,t,№ 6
61,ФИО_61,0,Участник мероприятия,Электромонтаж; ,Электромонтёр по ремонту и обслуживанию электрооборудования,,дек.12,АО «ОКБМ АФРИКАНТОВ»,,28.07.1993,,Информация об образовании не указана,,,,35.18,s,
62,ФИО_62,0,Участник мероприятия,Управление жизненным циклом; ,Инженер-конструктор,Инженер,2014-03-04,"Федеральное государственное унитарное предприятие ""Производственное объединение ""Маяк""""",Инженер-конструктор,1991-11-26,2014-03-04,Информация об образовании не указана,,,,59.39,t,"ЯОК ""МАЯК"""
63,ФИО_63,1,Участник мероприятия,Инженерное проектирование; ,Инженер проектировщик 2 категории,Инженер,2015-10-15,"""Акционерное общество Красноярский филиал """"Государственный специализированный проектный институт""""""",,1992-09-28,2021-06-07,Высшее образование без указания уровня,"ФГАОУ ВПО ""Сибирский федеральный университет"" г. Красноярск",2015,Теплогазоснабжения и вентиляция,5.0,t,ГСПИ_2
64,ФИО_64,0,Участник мероприятия,Цифровое ПСР-Предприятие (Lean Smart Plant); ,Руководитель по управлению персоналом,,04.2007,"""АО """"Уральский электрохимический комбинат""""""",,,,Информация об образовании не указана,,,,56.36,t,"АО ""ТВЭЛ"" 2"
65,ФИО_65,0,Участник мероприятия,Электроника; ,,,,,,,,Информация об образовании не указана,,,,7.51,s,
66,ФИО_66,0,Участник мероприятия,Управление жизненным циклом; ,Инженер-механик,,"10,2014","""Акционерное общество """"Производственное объединение """"Электрохимический завод""""""",,,,Информация об образовании не указана,,,,42.69,t,"АО ""ТВЭЛ"" 1"
67,ФИО_67,0,Участник мероприятия,Неразрушающий контроль; ,Техник,,08.2019,АО Научный и Конструкторский Институт Монтажной Технологии-Атомстрой,,,,Информация об образовании не указана,,,,55.65,s,
68,ФИО_68,1,Участник мероприятия,Управление качеством; ,Студент,Студент,2022-07-25,-,нет в предлагаемом списке,2001-08-21,2022-07-25,Информация об образовании не указана,,,,9.8,t,ГУАП
69,ФИО_69,1,Участник мероприятия,Управление качеством; ,главный специалист 70 группы,,2006-03-10,АО «Государственный специализированный проектный институт» ,,2022-07-20,2019-12-19,Информация об образовании не указана,,,,51.27,t,"АО ""Русатом Оверсиз"""
70,ФИО_70,0,Участник мероприятия,Квантовые технологии; ,,,,Институт компьютерных технологий и информационной безопасности при Южном Федеральном Университете,,2001-08-02,,Информация об образовании не указана,,,,16.23,s,
71,ФИО_71,1,Участник мероприятия,Геодезия; ,Инженер- геодезист  отдела капитального строительства,,1997-09-25,"""Федеральное государственное унитарное предприятие """"НАЦИОНАЛЬНЫЙ ОПЕРАТОР ПО ОБРАЩЕНИЮ С РАДИОАКТИВНЫМИ ОТХОДАМИ""""""",,1974-09-22,2018-06-04,Высшее образование без указания уровня,Уральская государственная горно-геологическая академия,1997,маркшейдерское дело,45.05,t,РАО
72,ФИО_72,0,Участник мероприятия,Корпоративная защита от внутренних угроз информационной безопасности; ,Инженер,Инженер,2022-05-04,Федеральное государственное унитарное предприятие «Всероссийский научно-исследовательский институт автоматики им.Духова,Информационная безопасность,2001-03-20,2022-05-04,Информация об образовании не указана,,,,73.33,t,ВНИИА ЯОК
73,ФИО_73,1,Участник мероприятия,Инженер-технолог машиностроения; ,Инженер-технолог,Инженер,2014-07-14,ФГУП «Приборостроительный завод имени К.А. Володина»,нет в предлагаемом списке,13.07.1989,2014-07-14,Информация об образовании не указана,,,,71.02,s,
74,ФИО_74,0,Участник мероприятия,Управление жизненным циклом; ,Инженер-технолог 2 категории,Инженер,2016-07-31,Служба главного технолога,нет в предлагаемом списке,1994-07-10,2018-03-12,Информация об образовании не указана,,,,64.88,t,"ЯОК ""ЭХП"""
75,ФИО_75,0,Участник мероприятия,Управление жизненным циклом; ,,,,"""АО Нижегородская инжиниринговая компания """"Атомэнергопроект"""" (АО """"НИАЭП"""")""",,,,Информация об образовании не указана,,,,56.03,t,"Команда ""АСЭ"""
76,ФИО_76,0,Участник мероприятия,Машинное обучение и большие данные; ,Инженер данных,,01.07.2000,Частное учреждение Цифрум,,,17.01.2022,Высшее образование без указания уровня,Волгоградский Государственный Технический Университет,2003,Информационные системы в экономике,49.86,s,
77,ФИО_77,0,Участник мероприятия,Сварочные технологии; ,электросварщик ручной сварки 6-го разряда,Специалист (рабочие специальности),2004-10-01,"""Калининатомэнергоремонт"" - филиал АО ""Атомэнергоремонт""",Сварочные технологии,1984-06-25,2010-04-20,Информация об образовании не указана,,,,59.52,s,
78,ФИО_78,0,Участник мероприятия,Программные решения для бизнеса; ,Инженер-программист,Специалист (рабочие специальности),2021-04-23,"""ФГУП """"Производственное объединение """"Маяк""""""",Программист,1996-12-17,2021-04-23,Информация об образовании не указана,,,,43.0,t,ЯОК МАЯК
79,ФИО_79,1,Участник мероприятия,Инженерное проектирование; ,Главный специалист,Инженер,12.08.2008,Ведущий проектно-изыскательский и научно-исследовательский институт промышленной технологии,Инженерное проектирование,02.02.1986,2008-08-12,Высшее образование без указания уровня,ЯГТУ,2008,Инженер,5.0,t,ВНИПИ_в_координатах
80,ФИО_80,1,Участник мероприятия,Управление жизненным циклом; ,Инженер-конструктор 3 категории,,09.2008,"""АО """"Чепецкий механический завод""""""",,14.12.1986,,Информация об образовании не указана,,,,42.69,t,"АО ""ТВЭЛ"" 1"
81,ФИО_81,0,Участник мероприятия,Фрезерные работы на станках с ЧПУ; ,фрезеровщик,Специалист (рабочие специальности),2013-07-06,ФГУП ПСЗ,Токарные / Фрезерные работы на станках с ЧПУ,1991-03-06,2013-07-06,Информация об образовании не указана,,,,54.04,s,
82,ФИО_82,0,Участник мероприятия,Цифровое ПСР-Предприятие (Lean Smart Plant); ,Ведущий инженер по ремонту,Инженер,2007-12-01,"Ведущий инженер по ремонту электрического цеха участка по ремонту генераторов, электродвигателей 6 и 0.4 кВ",нет в предлагаемом списке,1987-08-31,2013-04-25,Информация об образовании не указана,,,,73.53,t,БалАЭС
83,ФИО_83,0,Участник мероприятия,Инженер-технолог машиностроения; ,Инженер-технолог,,2019-04-01,"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ПРИБОРОСТРОИТ",,1995-06-03,2019-04-01,Высшее образование без указания уровня,ТТИ НИЯУ МИФИ,2019,Проектирование технологических машин и комплексов,72.93,s,
84,ФИО_84,0,Участник мероприятия,Машинное обучение и большие данные; ,Эксперт,Специалист (рабочие специальности),2020-01-09,АО Гринатом,Программист,1999-08-28,2022-04-15,Информация об образовании не указана,,,,65.42,s,
85,ФИО_85,0,Участник мероприятия,Инженерное проектирование; ,Инженер-проектировщик 3 категории,,2019-01-15,АО АСЭ,,1994-09-28,2019-01-20,Информация об образовании не указана,,,,54.385,t,АЭП_1_ЛюBIMки
86,ФИО_86,0,Участник мероприятия,Инженер-технолог машиностроения; ,Инженер-технолог 1 категории,,,АО Центральное конструкторское бюро машиностроения,,,,Информация об образовании не указана,,,,40.55,s,
87,ФИО_87,0,Участник мероприятия,Промышленная механика и монтаж; ,Инженер-электрик,,,АО ОКБМ АФРИКАНТОВА ,,,,Информация об образовании не указана,,,,44.57,t,"Рабочее место 6 Команда ""АЭМ-""ОКБМ"""
88,ФИО_88,0,Участник мероприятия,Инженер-технолог машиностроения; ,Инженер-технолог3 категории,,сент.2017,Филиал АО ''АЭМ-технологии'' ''Атоммаш'' в г. Волгодонск,,24.09.1992,2017,Высшее образование без указания уровня,ВИТИ НИЯУ МИФИ,2015,Технология машиностроения,63.74,s,
89,ФИО_89,1,Участник мероприятия,Охрана труда; ,Инженер по охране труда,Инженер,2019-03-11,Филиал АО ''Концерн Росэнергоатом'' ''Калининская атомная станция'',,11.05.1996,2019-03-11,Информация об образовании не указана,,,,58.52,s,
90,ФИО_90,1,Участник не в оценке,Охрана окружающей среды; ,ведущий инженер по ООС (эколог),,02.2000,"""АО Инжиниринговая компания """"АЭМ-технологии""""",,,,Информация об образовании не указана,,,,23.76,s,
91,ФИО_91,0,Участник не в оценке,Электроника; ,,,,,,,,Информация об образовании не указана,,,,44.85,s,
92,ФИО_92,0,Участник мероприятия,Сварочные технологии; ,Электрогазосварщик 6р,,09.2006,"""АО """"ЕВРАЗ ОБЪЕДИНЕННЫЙ ЗАПАДНО-СИБИРСКИЙ МЕТАЛЛУРГИЧЕСКИЙ КОМБИНАТ""""""",,,,Информация об образовании не указана,,,,47.53,s,
93,ФИО_93,0,Участник мероприятия,Электромонтаж; ,электрослесарь по ремонту автоматики и средств измерения,Специалист (рабочие специальности),2019-07-15,"""Филиал АО """"Русатом Инфраструктурные Решения"""" в г. Глазове""",Электромонтаж,1999-02-16,2020-09-15,Информация об образовании не указана,,,,26.24,s,
94,ФИО_94,1,Участник мероприятия,Управление качеством; ,главный эксперт,,"11,2","""Акционерное общество """"Русатом автоматизированные системы управления""""""",,12.01.1978,,Информация об образовании не указана,,,,44.91,t,"АО ""РАСУ"""
95,ФИО_95,1,Участник мероприятия,Аналитический контроль; ,Сменный лаборант химического анализа,Специалист (рабочие специальности),2021-01-25,Завод 156,Аналитический контроль,1999-11-02,2021-01-25,Информация об образовании не указана,,,,49.56,s,
96,ФИО_96,0,Участник мероприятия,Инженер-технолог машиностроения; ,-,,2018,-,,2000-11-22,-,Среднее профессиональное образование,Трехгорный Технологический Институт филиал НИЯУ МИФИ,2021,15.02.08 Технология машиностроения,47.99,s,
97,ФИО_97,0,Участник мероприятия,Информационная безопасность; ,"Инженер-программист (по безопасности конфиденциальной информации), ведущий",,янв.99,"""АО """"Сибирский химический комбинат""""""",,30.05.1981,,Информация об образовании не указана,,,,4.8,t,"АО ""ТВЭЛ"" 1"
98,ФИО_98,0,Участник мероприятия,Информационная безопасность; ,,,,НИЯУ МИФИ,,2001-02-19,,Информация об образовании не указана,,,,13.64,t,НИЯУ МИФИ
99,ФИО_99,0,Участник мероприятия,Вывод из эксплуатации объектов использования атомной энергии; ,,,,Институт Атомной Энергетики Национальный Исследовательский Ядерный Университет Московский Инженерно Физический Институт,,1999-01-26,,Информация об образовании не указана,,,,40.31,t,ИАТЭ МИФИ
100,ФИО_100,1,Участник мероприятия,Аналитический контроль; ,Лаборант химического анализа,,09.2013,Татьяна Олеговна Вербицкая,,30.06.1991,,Информация об образовании не указана,,,,39.92,s,
101,ФИО_101,0,Участник мероприятия,Охрана труда; ,Специалист по ОТ и ПБ,Специалист (рабочие специальности),2006-06-01,Акционерное общество РУСБУРМАШ,Охрана труда,1987-03-20,2020-07-02,Информация об образовании не указана,,,,36.3,s,
102,ФИО_102,1,Участник мероприятия,Вывод из эксплуатации объектов использования атомной энергии; ,специалист 1 категории,,2014-07-23,Филиал АО «Концерн Росэнергоатом» «Опытно-демонстрационный инженерный центр по выводу из эксплуатации»,,1992-07-06,2016-01-27,Специалитет,ФГБОУ ВО «Российский экономический университет им. Г.В. Плеханова»,2016,"Бухгалтерский учет, анализ и аудит",79.37,t,ОДИЦ
103,ФИО_103,0,Участник мероприятия,Технологии композитов; ,Инженер,Инженер,2019-09-07,"""АКЦИОНЕРНОЕ ОБЩЕСТВО """"НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ИНСТИТУТ КОНСТРУКЦИОННЫХ МАТЕРИАЛОВ НА ОСНОВЕ ГРАФИТА """"НИИГРАФИТ""""""",Композиты и полимеры,1997-08-05,2019-09-07,Информация об образовании не указана,,,,67.04,t,"Райан Гослинг (АО ""НИИграфит"")"
104,ФИО_104,0,Участник мероприятия,Сетевое и системное администрирование; ,Инженер-программист 2й кат.,Инженер,2011-09-01,"ФГУП ""НИТИ им. А. П. Александрова""",Сетевое и системное администрирование,1991-07-05,2017-02-21,Информация об образовании не указана,,,,7.34,t,НИТИ
