,0,1,2,3,4,5,6,7,8
119,ФИО_119,19.04,t,"Галкина/Озеров ""АЭМ-""ЦКБМ-1""",2,19.04,t,"Галкина/Озеров ""АЭМ-""ЦКБМ-1""",2.0
120,ФИО_120,66.78,t,"АО ""РИР"" Team-2",3,66.78,t,"АО ""РИР"" Team-2",3.0
121,ФИО_121,16.75,s,16.75,s,,,,
122,ФИО_122,67.93,s,67.93,s,,,,
123,ФИО_123,77.88,t,"АО ""КОНЦЕРН ТИТАН 2"" Команд 1",3,77.88,t,"АО ""КОНЦЕРН ТИТАН 2"" Команд 1",3.0
124,ФИО_124,73.53,t,БалАЭС,3,73.53,t,БалАЭС,3.0
125,ФИО_125,39.28,s,39.28,s,,,,
126,ФИО_126,2.38,t,ФГБОУ НИУ МЭИ,2,2.38,t,ФГБОУ НИУ МЭИ,2.0
127,ФИО_127,68,t,№ 7,2,68,t,№ 7,2.0
128,ФИО_128,68.39,t,"Команда ""АЭМ-1""",7,68.39,t,"Команда ""АЭМ-1""",7.0
129,ФИО_129,32.97,s,32.97,s,,,,
130,ФИО_130,5,t,МАЯК_1,4,5,t,МАЯК_1,4.0
131,ФИО_131,80.91,t,ЭХП,3,80.91,t,ЭХП,3.0
132,ФИО_132,62.02,t,"АО ""ТВЭЛ"" 2",4,62.02,t,"АО ""ТВЭЛ"" 2",4.0
133,ФИО_133,5,t,"АО ""ТВЭЛ"" 1",4,5,t,"АО ""ТВЭЛ"" 1",4.0
134,ФИО_134,65.58,s,65.58,s,,,,
135,ФИО_135,55.99,t,Маяк-2,4,55.99,t,Маяк-2,4.0
136,ФИО_136,28.37,s,28.37,s,,,,
137,ФИО_137,79.38,t,"АО ""РИР""",3,79.38,t,"АО ""РИР""",3.0
138,ФИО_138,4.03,t,"АО ""ТВЭЛ"" 2",2,4.03,t,"АО ""ТВЭЛ"" 2",2.0
139,ФИО_139,5,t,"АО ""ТВЭЛ"" 1",4,5,t,"АО ""ТВЭЛ"" 1",4.0
140,ФИО_140,47.23,s,47.23,s,,,,
141,ФИО_141,57.89,s,57.89,s,,,,
142,ФИО_142,65.17,t,Экологические решения,3,65.17,t,Экологические решения,3.0
143,ФИО_143,22,t,"АО ""РИР"" Team-1",3,22,t,"АО ""РИР"" Team-1",3.0
144,ФИО_144,37,t,ВНИИЭФ,2,37,t,ВНИИЭФ,2.0
145,ФИО_145,40.97,t,Браво,2,40.97,t,Браво,2.0
146,ФИО_146,46.79,t,Чарли,2,46.79,t,Чарли,2.0
147,ФИО_147,50.7,s,50.7,s,,,,
148,ФИО_148,49.38,s,49.38,s,,,,
149,ФИО_149,42.33,s,42.33,s,,,,
150,ФИО_150,37.13,s,37.13,s,,,,
151,ФИО_151,58.83,t,"Команда ""АЭМ-2""",7,58.83,t,"Команда ""АЭМ-2""",7.0
152,ФИО_152,31.26,s,31.26,s,,,,
153,ФИО_153,27.37,s,27.37,s,,,,
154,ФИО_154,39.41,s,39.41,s,,,,
155,ФИО_155,41.12,s,41.12,s,,,,
156,ФИО_156,60.7,s,60.7,s,,,,
157,ФИО_157,44.65,t,Тузовский/Демешкевич ЯОК,2,44.65,t,Тузовский/Демешкевич ЯОК,2.0
158,ФИО_158,72.05,t,Горнорудный дивизион,2,72.05,t,Горнорудный дивизион,2.0
159,ФИО_159,42.37,s,42.37,s,,,,
160,ФИО_160,44.61,t,"Денисов/Казикин АО ""ТВЭЛ"" 1",2,44.61,t,"Денисов/Казикин АО ""ТВЭЛ"" 1",2.0
161,ФИО_161,31.96,s,31.96,s,,,,
162,ФИО_162,64.1,t,ТВЭЛ,4,64.1,t,ТВЭЛ,4.0
163,ФИО_163,39.56,s,39.56,s,,,,
164,ФИО_164,61.26,t,"АО ""АЭС"" АО ""Консист-ОС""",2,61.26,t,"АО ""АЭС"" АО ""Консист-ОС""",2.0
165,ФИО_165,49.07,t,Концерн команда-1,7,49.07,t,Концерн команда-1,7.0
166,ФИО_166,15,t,Экологические решения,3,15,t,Экологические решения,3.0
167,ФИО_167,11.41,t,ГПН ЦР,2,11.41,t,ГПН ЦР,2.0
168,ФИО_168,20.07,s,20.07,s,,,,
169,ФИО_169,37.25,s,37.25,s,,,,
170,ФИО_170,56.81,s,56.81,s,,,,
171,ФИО_171,44.61333333,t,Рабочее место 2   Концерн команда 2,2,44.61333333,t,Рабочее место 2   Концерн команда 2,2.0
172,ФИО_172,57.6,s,57.6,s,,,,
173,ФИО_173,63.23,t,Рос СЭМ,3,63.23,t,Рос СЭМ,3.0
174,ФИО_174,45.9,s,45.9,s,,,,
175,ФИО_175,70.78,t,НИКИМТ,3,70.78,t,НИКИМТ,3.0
176,ФИО_176,68.39,t,"Команда ""АЭМ-1""",7,68.39,t,"Команда ""АЭМ-1""",7.0
177,ФИО_177,61.71,t,ПЗМ,3,61.71,t,ПЗМ,3.0
178,ФИО_178,70.33,s,70.33,s,,,,
179,ФИО_179,48.06,s,48.06,s,,,,
180,ФИО_180,66.78,t,"АО ""РИР"" Team-2",3,66.78,t,"АО ""РИР"" Team-2",3.0
181,ФИО_181,79.38,t,"АО ""РИР""",3,79.38,t,"АО ""РИР""",3.0
182,ФИО_182,5,t,ГСПИ_1,4,5,t,ГСПИ_1,4.0
183,ФИО_183,46.95,s,46.95,s,,,,
184,ФИО_184,5,t,МАЯК_2_Фрэшмены,3,5,t,МАЯК_2_Фрэшмены,3.0
185,ФИО_185,55.5,t,№ 8,2,55.5,t,№ 8,2.0
186,ФИО_186,69.04,t,ЛУЧ,3,69.04,t,ЛУЧ,3.0
187,ФИО_187,4.34,t,Элерон,2,4.34,t,Элерон,2.0
188,ФИО_188,62.67,s,62.67,s,,,,
189,ФИО_189,55.99,t,Маяк-2,4,55.99,t,Маяк-2,4.0
190,ФИО_190,5,t,"АО ""ЕВРАЗ ЗСМК""",4,5,t,"АО ""ЕВРАЗ ЗСМК""",4.0
191,ФИО_191,38.11,s,38.11,s,,,,
192,ФИО_192,26,s,26,s,,,,
193,ФИО_193,68.39,t,"Команда ""АЭМ-1""",7,68.39,t,"Команда ""АЭМ-1""",7.0
194,ФИО_194,48.2,s,48.2,s,,,,
195,ФИО_195,40.34,t,"Команда ""АЭМ-ЦКБМ""",3,40.34,t,"Команда ""АЭМ-ЦКБМ""",3.0
196,ФИО_196,58.55,s,58.55,s,,,,
197,ФИО_197,26.18,s,26.18,s,,,,
198,ФИО_198,40.59111111,t,"Рабочее место 3   АО ""ТВЭЛ"" 1",2,40.59111111,t,"Рабочее место 3   АО ""ТВЭЛ"" 1",2.0
199,ФИО_199,31.75,s,31.75,s,,,,
200,ФИО_200,4.8,t,"АО ""ТВЭЛ"" 1",2,4.8,t,"АО ""ТВЭЛ"" 1",2.0
201,ФИО_201,30.93,s,30.93,s,,,,
202,ФИО_202,33.62,t,Экологические решения,2,33.62,t,Экологические решения,2.0
203,ФИО_203,51.38,s,51.38,s,,,,
204,ФИО_204,48.08,s,48.08,s,,,,
205,ФИО_205,51.8,t,"ФГУП ""Комбинат"" Электрохимприбор""",3,51.8,t,"ФГУП ""Комбинат"" Электрохимприбор""",3.0
206,ФИО_206,47.71,s,47.71,s,,,,
207,ФИО_207,35.63,s,35.63,s,,,,
208,ФИО_208,80.91,t,ЭХП,3,80.91,t,ЭХП,3.0
209,ФИО_209,32.05,s,32.05,s,,,,
210,ФИО_210,58.5,s,58.5,s,,,,
211,ФИО_211,17.28,t,"Команда АО ""Гринатом""",2,17.28,t,"Команда АО ""Гринатом""",2.0
212,ФИО_212,35.25,s,35.25,s,,,,
213,ФИО_213,25.39,s,25.39,s,,,,
214,ФИО_214,63.04,s,63.04,s,,,,
215,ФИО_215,64.88,t,"ЯОК ""ЭХП""",7,64.88,t,"ЯОК ""ЭХП""",7.0
216,ФИО_216,64.88,t,"ЯОК ""ЭХП""",7,64.88,t,"ЯОК ""ЭХП""",7.0
217,ФИО_217,54.86,s,54.86,s,,,,
218,ФИО_218,68.2,t,АЭХК,4,68.2,t,АЭХК,4.0
219,ФИО_219,5,t,ГСПИ_1,4,5,t,ГСПИ_1,4.0
220,ФИО_220,77.88,t,"АО ""КОНЦЕРН ТИТАН 2"" Команд 1",3,77.88,t,"АО ""КОНЦЕРН ТИТАН 2"" Команд 1",3.0
221,ФИО_221,43.67,t,ЯОК ЭХП,3,43.67,t,ЯОК ЭХП,3.0
222,ФИО_222,43.94,s,43.94,s,,,,
223,ФИО_223,43.11,s,43.11,s,,,,
224,ФИО_224,44.54,t,"АО ""ТВЭЛ"" 2",7,44.54,t,"АО ""ТВЭЛ"" 2",7.0
225,ФИО_225,45.05,t,РАО,2,45.05,t,РАО,2.0
226,ФИО_226,74.2,s,74.2,s,,,,
227,ФИО_227,5,t,МИФИ,4,5,t,МИФИ,4.0
228,ФИО_228,44.61333333,t,Рабочее место 2   Концерн команда 2,2,44.61333333,t,Рабочее место 2   Концерн команда 2,2.0
229,ФИО_229,74.5,t,№4,2,74.5,t,№4,2.0
230,ФИО_230,19,t,НИЯУ МИФИ,3,19,t,НИЯУ МИФИ,3.0
231,ФИО_231,63.4,s,63.4,s,,,,
232,ФИО_232,5.73,t,"АО ""РИР+АО ""ИРМ"" + ОКБ Гидропресс",2,5.73,t,"АО ""РИР+АО ""ИРМ"" + ОКБ Гидропресс",2.0
233,ФИО_233,34.3,s,34.3,s,,,,
234,ФИО_234,42.69,t,"АО ""ТВЭЛ"" 1",7,42.69,t,"АО ""ТВЭЛ"" 1",7.0
235,ФИО_235,5,t,МИФИ,4,5,t,МИФИ,4.0
236,ФИО_236,56.03,t,"Команда ""АСЭ""",7,56.03,t,"Команда ""АСЭ""",7.0
237,ФИО_237,59.39,t,"ЯОК ""МАЯК""",7,59.39,t,"ЯОК ""МАЯК""",7.0
238,ФИО_238,45.71,s,45.71,s,,,,
239,ФИО_239,85.7,s,85.7,s,,,,
240,ФИО_240,40.97,t,Браво,2,40.97,t,Браво,2.0
241,ФИО_241,65.33,t,АСЭ Team-2,3,65.33,t,АСЭ Team-2,3.0
242,ФИО_242,64.88,t,"ЯОК ""ЭХП""",7,64.88,t,"ЯОК ""ЭХП""",7.0
243,ФИО_243,53.3,s,53.3,s,,,,
244,ФИО_244,5,t,МАЯК_2_Фрэшмены,3,5,t,МАЯК_2_Фрэшмены,3.0
245,ФИО_245,54.65,s,54.65,s,,,,
246,ФИО_246,15.9,s,15.9,s,,,,
247,ФИО_247,59.8,t,"Команда ""АЭМ-ЦКБМ""",3,59.8,t,"Команда ""АЭМ-ЦКБМ""",3.0
248,ФИО_248,48.89,s,48.89,s,,,,
249,ФИО_249,38.02,t,"Рабочее место 10 Команда ""АЭМ-""ПЗМ""",2,38.02,t,"Рабочее место 10 Команда ""АЭМ-""ПЗМ""",2.0
250,ФИО_250,41.88,t,Концерн команда-2,7,41.88,t,Концерн команда-2,7.0
251,ФИО_251,79.37,t,ОДИЦ,4,79.37,t,ОДИЦ,4.0
252,ФИО_252,43.53,t,Мешков/Канашов ОзТК,2,43.53,t,Мешков/Канашов ОзТК,2.0
253,ФИО_253,47.88,s,47.88,s,,,,
254,ФИО_254,5,t,"АО ""ТВЭЛ"" 1",4,5,t,"АО ""ТВЭЛ"" 1",4.0
255,ФИО_255,48.75,t,№ 3,2,48.75,t,№ 3,2.0
256,ФИО_256,48.13,s,48.13,s,,,,
257,ФИО_257,9.8,t,ГУАП,2,9.8,t,ГУАП,2.0
258,ФИО_258,86.61,t,Нововоронежская АЭС,4,86.61,t,Нововоронежская АЭС,4.0
259,ФИО_259,40.55,s,40.55,s,,,,
260,ФИО_260,44.61,t,"Денисов/Казикин АО ""ТВЭЛ"" 1",2,44.61,t,"Денисов/Казикин АО ""ТВЭЛ"" 1",2.0
261,ФИО_261,31.57,t,"АО ""КОНЦЕРН ТИТАН-2""",2,31.57,t,"АО ""КОНЦЕРН ТИТАН-2""",2.0
262,ФИО_262,23.76,s,23.76,s,,,,
263,ФИО_263,41.88,t,Концерн команда-2,7,41.88,t,Концерн команда-2,7.0
264,ФИО_264,58.83,t,"Команда ""АЭМ-2""",7,58.83,t,"Команда ""АЭМ-2""",7.0
265,ФИО_265,46.73,s,46.73,s,,,,
266,ФИО_266,64.1,t,ТВЭЛ,4,64.1,t,ТВЭЛ,4.0
267,ФИО_267,37.11333333,t,Рабочее место 9 МАЯК ЯОК-1,2,37.11333333,t,Рабочее место 9 МАЯК ЯОК-1,2.0
268,ФИО_268,48,t,№ 2,2,48,t,№ 2,2.0
269,ФИО_269,43.53,t,Мешков/Канашов ОзТК,2,43.53,t,Мешков/Канашов ОзТК,2.0
270,ФИО_270,17.23,s,17.23,s,,,,
271,ФИО_271,39.25,s,39.25,s,,,,
272,ФИО_272,43.43,s,43.43,s,,,,
273,ФИО_273,68,t,№ 7,2,68,t,№ 7,2.0
274,ФИО_274,47.42,t,СбытТИТАН,2,47.42,t,СбытТИТАН,2.0
275,ФИО_275,44.97,t,БелАЭС,2,44.97,t,БелАЭС,2.0
276,ФИО_276,16.72,s,16.72,s,,,,
277,ФИО_277,57.34,t,НВАЭС,3,57.34,t,НВАЭС,3.0
278,ФИО_278,22.92,s,22.92,s,,,,
279,ФИО_279,48.75,t,№ 3,2,48.75,t,№ 3,2.0
280,ФИО_280,67.54,s,67.54,s,,,,
281,ФИО_281,39.15,s,39.15,s,,,,
282,ФИО_282,55.42,s,55.42,s,,,,
283,ФИО_283,42.75,t,"Команда АО ""Гринатом""",2,42.75,t,"Команда АО ""Гринатом""",2.0
284,ФИО_284,11.16,s,11.16,s,,,,
285,ФИО_285,57.68,t,НИЯУ МИФИ 1,2,57.68,t,НИЯУ МИФИ 1,2.0
286,ФИО_286,5,t,ВНИПИ_1,4,5,t,ВНИПИ_1,4.0
287,ФИО_287,8.62,t,"АО ""ТВЭЛ""",2,8.62,t,"АО ""ТВЭЛ""",2.0
288,ФИО_288,48.63,s,48.63,s,,,,
289,ФИО_289,40.58333333,t,Рабочее место 8 МАЯК ЯОК-2,2,40.58333333,t,Рабочее место 8 МАЯК ЯОК-2,2.0
290,ФИО_290,66.7,s,66.7,s,,,,
291,ФИО_291,57.68,t,НИЯУ МИФИ 1,2,57.68,t,НИЯУ МИФИ 1,2.0
292,ФИО_292,41.31,t,"Клабуков/Кутергин АО ""ТВЭЛ"" 2",2,41.31,t,"Клабуков/Кутергин АО ""ТВЭЛ"" 2",2.0
293,ФИО_293,65.57,t,ГХК,4,65.57,t,ГХК,4.0
294,ФИО_294,79.37,t,ОДИЦ,4,79.37,t,ОДИЦ,4.0
295,ФИО_295,19.03,s,19.03,s,,,,
296,ФИО_296,54.385,t,АЭП_1_ЛюBIMки,4,54.385,t,АЭП_1_ЛюBIMки,4.0
297,ФИО_297,82.34,s,82.34,s,,,,
298,ФИО_298,33.62,t,Экологические решения,2,33.62,t,Экологические решения,2.0
299,ФИО_299,39.59,s,39.59,s,,,,
300,ФИО_300,18.81,s,18.81,s,,,,
301,ФИО_301,37,t,ВНИИЭФ,2,37,t,ВНИИЭФ,2.0
302,ФИО_302,41.5,s,41.5,s,,,,
303,ФИО_303,88.25,t,№ 6,2,88.25,t,№ 6,2.0
304,ФИО_304,43.69,s,43.69,s,,,,
305,ФИО_305,73.33,t,ВНИИА ЯОК,2,73.33,t,ВНИИА ЯОК,2.0
306,ФИО_306,80.95,s,80.95,s,,,,
307,ФИО_307,47.42,t,СбытТИТАН,2,47.42,t,СбытТИТАН,2.0
308,ФИО_308,49.7,s,49.7,s,,,,
309,ФИО_309,50.76,s,50.76,s,,,,
310,ФИО_310,61.26,t,"АО ""АЭС"" АО ""Консист-ОС""",2,61.26,t,"АО ""АЭС"" АО ""Консист-ОС""",2.0
311,ФИО_311,58.83,t,"Команда ""АЭМ-2""",7,58.83,t,"Команда ""АЭМ-2""",7.0
312,ФИО_312,32.35,s,32.35,s,,,,
313,ФИО_313,58.32,s,58.32,s,,,,
314,ФИО_314,78.29,s,78.29,s,,,,
315,ФИО_315,45.5,t,Экологические решения,2,45.5,t,Экологические решения,2.0
316,ФИО_316,23.93,t,ВНИИЭФ,2,23.93,t,ВНИИЭФ,2.0
317,ФИО_317,59.38,t,МАЯК ЯОК,3,59.38,t,МАЯК ЯОК,3.0
318,ФИО_318,63.25,t,№ 5,2,63.25,t,№ 5,2.0
319,ФИО_319,46.84,s,46.84,s,,,,
320,ФИО_320,42.69,t,"АО ""ТВЭЛ"" 1",7,42.69,t,"АО ""ТВЭЛ"" 1",7.0
321,ФИО_321,66.31,t,"АО ""ТВЭЛ"" 2",2,66.31,t,"АО ""ТВЭЛ"" 2",2.0
322,ФИО_322,19.28,s,19.28,s,,,,
323,ФИО_323,23.93,t,ВНИИЭФ,2,23.93,t,ВНИИЭФ,2.0
324,ФИО_324,89.85,t,АСЭ,2,89.85,t,АСЭ,2.0
325,ФИО_325,,,,,,,,
326,ФИО_326,21.47,s,21.47,s,,,,
327,ФИО_327,33,s,33,s,,,,
328,ФИО_328,20.43,s,20.43,s,,,,
329,ФИО_329,20,t,Крайнов/Шестаков КЛНАЭС,2,20,t,Крайнов/Шестаков КЛНАЭС,2.0
330,ФИО_330,81.83,t,"АО ""КОНЦЕРН ТИТАН 2"" Команд 2",3,81.83,t,"АО ""КОНЦЕРН ТИТАН 2"" Команд 2",3.0
331,ФИО_331,54.71,t,АЭП_2_Енотики_и_точка,4,54.71,t,АЭП_2_Енотики_и_точка,4.0
332,ФИО_332,70.78,t,НИКИМТ,3,70.78,t,НИКИМТ,3.0
333,ФИО_333,28.33,s,28.33,s,,,,
334,ФИО_334,5,t,МИФИ,4,5,t,МИФИ,4.0
335,ФИО_335,31.33333333,t,"Рабочее место 1   АО ""ТВЭЛ"" 2",2,31.33333333,t,"Рабочее место 1   АО ""ТВЭЛ"" 2",2.0
336,ФИО_336,51.91,s,51.91,s,,,,
337,ФИО_337,4.58,t,ФГУП РФЯЦ-ВНИИЭФ ЯОК,2,4.58,t,ФГУП РФЯЦ-ВНИИЭФ ЯОК,2.0
338,ФИО_338,64.09,s,64.09,s,,,,
339,ФИО_339,37.39,s,37.39,s,,,,
340,ФИО_340,,,,,,,,
341,ФИО_341,65.33,t,АСЭ Team-2,3,65.33,t,АСЭ Team-2,3.0
